sourceId,eventType,eventTime,currentAggregateRate
16,SOURCE_OFF,66.83709306581733,11.0
0,SOURCE_OFF,66.83827541661414,10.0
7,SOURCE_OFF,66.93303777269836,9.0
9,SOURCE_ON,67.02812408049289,10.0
6,SOURCE_ON,67.13935983987513,11.0
11,SOURCE_OFF,67.58972940178552,10.0
3,SOURCE_ON,67.70833522326107,11.0
16,SOURCE_ON,67.84089061377267,12.0
2,SOURCE_ON,68.03289458891906,13.0
9,SOURCE_OFF,68.1670164141074,12.0
0,SOURCE_ON,68.22969335191473,13.0
7,SOURCE_ON,68.49203345022143,14.0
19,SOURCE_ON,68.8687172743466,15.0
3,SOURCE_OFF,68.935536116844,14.0
0,SOURCE_OFF,69.44765673314066,13.0
15,SOURCE_OFF,69.53215120424888,12.0
8,SOURCE_OFF,69.57445051962254,11.0
17,SOURCE_ON,69.62936143271646,12.0
9,SOURCE_ON,69.63139286263689,13.0
11,SOURCE_ON,69.73784436506718,14.0
7,SOURCE_OFF,69.81373975567978,13.0
16,SOURCE_OFF,69.92211492707938,12.0
3,SOURCE_ON,70.26961217204627,13.0
18,SOURCE_OFF,70.47218308125368,12.0
0,SOURCE_ON,70.64243365451684,13.0
15,SOURCE_ON,70.8208079723236,14.0
17,SOURCE_OFF,70.91270190952419,13.0
19,SOURCE_OFF,71.03007643961266,12.0
9,SOURCE_OFF,71.06535971101913,11.0
6,SOURCE_OFF,71.23927455490332,10.0
7,SOURCE_ON,71.39331891454987,11.0
3,SOURCE_OFF,71.71934800470807,10.0
14,SOURCE_OFF,71.98998720157485,9.0
17,SOURCE_ON,72.2107054686437,10.0
6,SOURCE_ON,72.3886276032341,11.0
7,SOURCE_OFF,72.48932638350294,10.0
12,SOURCE_ON,72.58958362974619,11.0
19,SOURCE_ON,72.62864805264105,12.0
8,SOURCE_ON,72.77886417745306,13.0
18,SOURCE_ON,72.83298824192877,14.0
3,SOURCE_ON,72.94008452728194,15.0
10,SOURCE_OFF,73.11739776476688,14.0
5,SOURCE_OFF,73.46512727911606,13.0
6,SOURCE_OFF,73.46994272584973,12.0
9,SOURCE_ON,73.47979122269794,13.0
16,SOURCE_ON,74.05324591098851,14.0
15,SOURCE_OFF,74.23366127529046,13.0
3,SOURCE_OFF,74.5522961321612,12.0
14,SOURCE_ON,74.67468575502058,13.0
6,SOURCE_ON,74.68117889874932,14.0
2,SOURCE_OFF,75.06993653560406,13.0
12,SOURCE_OFF,75.26930343386059,12.0
18,SOURCE_OFF,75.5148638332848,11.0
17,SOURCE_OFF,75.56960971772789,10.0
10,SOURCE_ON,75.668258738881,11.0
6,SOURCE_OFF,75.83410023250514,10.0
15,SOURCE_ON,76.01473710142322,11.0
11,SOURCE_OFF,76.02431906874052,10.0
2,SOURCE_ON,76.12578579818239,11.0
16,SOURCE_OFF,76.36612933754745,10.0
8,SOURCE_OFF,76.45544403218315,9.0
12,SOURCE_ON,76.58090010005056,10.0
0,SOURCE_OFF,76.66988786724447,9.0
6,SOURCE_ON,76.90807484002251,10.0
15,SOURCE_OFF,77.14209609874881,9.0
8,SOURCE_ON,77.56581485218625,10.0
10,SOURCE_OFF,77.62060653918948,9.0
11,SOURCE_ON,77.64045116855826,10.0
16,SOURCE_ON,77.68350142102993,11.0
19,SOURCE_OFF,77.70952136529566,10.0
0,SOURCE_ON,77.73485465502591,11.0
2,SOURCE_OFF,78.09141499802158,10.0
9,SOURCE_OFF,78.13428657758993,9.0
6,SOURCE_OFF,78.1746455594628,8.0
12,SOURCE_OFF,78.18544389202539,7.0
15,SOURCE_ON,78.21249378371267,8.0
5,SOURCE_ON,78.36716563786828,9.0
3,SOURCE_ON,78.41300966549831,10.0
18,SOURCE_ON,78.64781960814473,11.0
11,SOURCE_OFF,79.00797554667064,10.0
16,SOURCE_OFF,79.171087009413,9.0
19,SOURCE_ON,79.17557816663191,10.0
15,SOURCE_OFF,79.26638522014294,9.0
10,SOURCE_ON,79.34673832568696,10.0
13,SOURCE_ON,79.40353826671532,11.0
2,SOURCE_ON,79.40436690457676,12.0
3,SOURCE_OFF,79.58607970384756,11.0
6,SOURCE_ON,79.63940148933146,12.0
1,SOURCE_OFF,79.92457288105986,11.0
11,SOURCE_ON,80.22277564448781,12.0
5,SOURCE_OFF,80.30200170298181,11.0
19,SOURCE_OFF,80.45404370936589,10.0
2,SOURCE_OFF,80.57292416260525,9.0
16,SOURCE_ON,80.63217034083983,10.0
1,SOURCE_ON,80.9354651193907,11.0
8,SOURCE_OFF,80.98249193082296,10.0
0,SOURCE_OFF,81.03359239484926,9.0
7,SOURCE_ON,81.03814872063504,10.0
18,SOURCE_OFF,81.28677256274298,9.0
12,SOURCE_ON,81.61040630167187,10.0
15,SOURCE_ON,81.62814685334656,11.0
10,SOURCE_OFF,81.73741116737702,10.0
3,SOURCE_ON,81.91153144257848,11.0
9,SOURCE_ON,82.00424305522971,12.0
0,SOURCE_ON,82.08819465909099,13.0
11,SOURCE_OFF,82.42791770954359,12.0
8,SOURCE_ON,82.69360645287743,13.0
19,SOURCE_ON,82.81822933115909,14.0
9,SOURCE_OFF,83.00899256720388,13.0
14,SOURCE_OFF,83.14112288617946,12.0
1,SOURCE_OFF,83.26303590527763,11.0
0,SOURCE_OFF,83.39212898055153,10.0
7,SOURCE_OFF,83.42090383033018,9.0
16,SOURCE_OFF,83.44410547095659,8.0
11,SOURCE_ON,83.45912111324141,9.0
15,SOURCE_OFF,83.46165512519511,8.0
5,SOURCE_ON,83.63299550155793,9.0
9,SOURCE_ON,84.08460608708663,10.0
3,SOURCE_OFF,84.24693753317523,9.0
